transaction_id,customer_id,merchant_id,amount,transaction_time,is_fraudulent,card_type,location,purchase_category,customer_age,transaction_description
1,1082,2027,5758.59,2023-01-01 00:00:00,0,MasterCard,City-30,Gas Station,43,Purchase at Merchant-2027
2,1015,2053,1901.56,2023-01-01 00:00:01,1,Visa,City-47,Online Shopping,61,Purchase at Merchant-2053
3,1004,2035,1248.86,2023-01-01 00:00:02,1,MasterCard,City-6,Gas Station,57,Purchase at Merchant-2035
4,1095,2037,7619.05,2023-01-01 00:00:03,1,Discover,City-6,Travel,59,Purchase at Merchant-2037
5,1036,2083,1890.1,2023-01-01 00:00:04,1,MasterCard,City-34,Retail,36,Purchase at Merchant-2083
6,1032,2021,8487.68,2023-01-01 00:00:05,1,American Express,City-1,Gas Station,43,Purchase at Merchant-2021
7,1029,2033,7565.3,2023-01-01 00:00:06,1,Visa,City-7,Online Shopping,19,Purchase at Merchant-2033
8,1018,2088,2284.88,2023-01-01 00:00:07,0,American Express,City-46,Travel,40,Purchase at Merchant-2088
9,1095,2077,3952.73,2023-01-01 00:00:08,0,American Express,City-45,Groceries,43,Purchase at Merchant-2077
10,1014,2031,8362.04,2023-01-01 00:00:09,0,Visa,City-25,Restaurant,55,Purchase at Merchant-2031
11,1087,2052,2974.23,2023-01-01 00:00:10,1,MasterCard,City-29,Retail,70,Purchase at Merchant-2052
12,1095,2031,4128.7,2023-01-01 00:00:11,0,Discover,City-45,Travel,27,Purchase at Merchant-2031
13,1070,2015,6409.54,2023-01-01 00:00:12,1,American Express,City-30,Restaurant,46,Purchase at Merchant-2015
14,1012,2020,2190.4,2023-01-01 00:00:13,1,Visa,City-19,Gas Station,34,Purchase at Merchant-2020
15,1076,2025,2516.99,2023-01-01 00:00:14,1,MasterCard,City-13,Retail,41,Purchase at Merchant-2025
16,1055,2004,3454.14,2023-01-01 00:00:15,1,Discover,City-25,Retail,19,Purchase at Merchant-2004
17,1005,2032,2415.3,2023-01-01 00:00:16,1,Visa,City-4,Online Shopping,41,Purchase at Merchant-2032
18,1004,2040,79.76,2023-01-01 00:00:17,0,Visa,City-17,Restaurant,64,Purchase at Merchant-2040
19,1012,2060,8906.66,2023-01-01 00:00:18,1,Visa,City-35,Travel,62,Purchase at Merchant-2060
20,1028,2063,6838.47,2023-01-01 00:00:19,1,Discover,City-40,Groceries,44,Purchase at Merchant-2063
21,1030,2072,2821.68,2023-01-01 00:00:20,1,MasterCard,City-1,Groceries,57,Purchase at Merchant-2072
22,1065,2056,1621.03,2023-01-01 00:00:21,0,MasterCard,City-38,Retail,40,Purchase at Merchant-2056
23,1078,2055,625.58,2023-01-01 00:00:22,0,Visa,City-34,Online Shopping,60,Purchase at Merchant-2055
24,1004,2083,4944.29,2023-01-01 00:00:23,1,Discover,City-22,Retail,51,Purchase at Merchant-2083
25,1072,2005,9027.91,2023-01-01 00:00:24,0,Visa,City-39,Groceries,28,Purchase at Merchant-2005
26,1026,2026,613.44,2023-01-01 00:00:25,1,MasterCard,City-10,Travel,42,Purchase at Merchant-2026
27,1092,2021,7558.94,2023-01-01 00:00:26,0,Visa,City-29,Restaurant,23,Purchase at Merchant-2021
28,1084,2035,4306.65,2023-01-01 00:00:27,1,American Express,City-7,Groceries,45,Purchase at Merchant-2035
29,1090,2018,6743.61,2023-01-01 00:00:28,1,American Express,City-17,Groceries,65,Purchase at Merchant-2018
30,1070,2004,8987.41,2023-01-01 00:00:29,0,MasterCard,City-15,Online Shopping,55,Purchase at Merchant-2004
31,1054,2034,4464.86,2023-01-01 00:00:30,1,MasterCard,City-44,Gas Station,24,Purchase at Merchant-2034
32,1029,2036,9771.9,2023-01-01 00:00:31,1,American Express,City-27,Online Shopping,30,Purchase at Merchant-2036
33,1058,2085,6748.27,2023-01-01 00:00:32,1,Discover,City-37,Retail,35,Purchase at Merchant-2085
34,1076,2071,3190.8,2023-01-01 00:00:33,0,Visa,City-50,Gas Station,32,Purchase at Merchant-2071
35,1036,2023,7716.15,2023-01-01 00:00:34,1,MasterCard,City-18,Online Shopping,58,Purchase at Merchant-2023
36,1001,2083,9145.62,2023-01-01 00:00:35,1,MasterCard,City-31,Retail,66,Purchase at Merchant-2083
37,1098,2006,6983.78,2023-01-01 00:00:36,0,MasterCard,City-17,Restaurant,51,Purchase at Merchant-2006
38,1021,2093,6059.01,2023-01-01 00:00:37,1,Visa,City-39,Travel,61,Purchase at Merchant-2093
39,1090,2063,9593.37,2023-01-01 00:00:38,0,American Express,City-14,Groceries,66,Purchase at Merchant-2063
40,1055,2003,5696.32,2023-01-01 00:00:39,0,Discover,City-41,Online Shopping,22,Purchase at Merchant-2003
41,1044,2008,7274.22,2023-01-01 00:00:40,0,American Express,City-20,Online Shopping,27,Purchase at Merchant-2008
42,1036,2011,3197.45,2023-01-01 00:00:41,1,Visa,City-50,Restaurant,66,Purchase at Merchant-2011
43,1020,2041,3587.54,2023-01-01 00:00:42,1,Discover,City-31,Gas Station,39,Purchase at Merchant-2041
44,1028,2078,8111.54,2023-01-01 00:00:43,0,American Express,City-25,Online Shopping,53,Purchase at Merchant-2078
45,1098,2039,3710.73,2023-01-01 00:00:44,0,Discover,City-45,Groceries,21,Purchase at Merchant-2039
46,1044,2009,3009.47,2023-01-01 00:00:45,0,Visa,City-34,Restaurant,29,Purchase at Merchant-2009
47,1014,2053,4895.98,2023-01-01 00:00:46,1,MasterCard,City-35,Groceries,38,Purchase at Merchant-2053
48,1012,2047,5463.71,2023-01-01 00:00:47,1,MasterCard,City-38,Online Shopping,43,Purchase at Merchant-2047
49,1049,2086,7452.24,2023-01-01 00:00:48,0,MasterCard,City-14,Retail,28,Purchase at Merchant-2086
50,1013,2085,2288.84,2023-01-01 00:00:49,1,Visa,City-46,Online Shopping,23,Purchase at Merchant-2085
51,1046,2012,1713.82,2023-01-01 00:00:50,0,Visa,City-33,Groceries,56,Purchase at Merchant-2012
52,1045,2051,6911.74,2023-01-01 00:00:51,1,Discover,City-27,Retail,46,Purchase at Merchant-2051
53,1078,2093,4103.23,2023-01-01 00:00:52,0,Visa,City-6,Travel,35,Purchase at Merchant-2093
54,1034,2018,8800.95,2023-01-01 00:00:53,0,American Express,City-26,Retail,48,Purchase at Merchant-2018
55,1006,2031,3250.43,2023-01-01 00:00:54,0,Visa,City-41,Restaurant,45,Purchase at Merchant-2031
56,1094,2015,7964.55,2023-01-01 00:00:55,1,Discover,City-48,Groceries,21,Purchase at Merchant-2015
57,1059,2074,9452.68,2023-01-01 00:00:56,1,American Express,City-6,Groceries,37,Purchase at Merchant-2074
58,1069,2095,4038.38,2023-01-01 00:00:57,0,Visa,City-45,Groceries,64,Purchase at Merchant-2095
59,1016,2065,8688.14,2023-01-01 00:00:58,1,MasterCard,City-34,Retail,37,Purchase at Merchant-2065
60,1049,2016,4649.28,2023-01-01 00:00:59,0,American Express,City-43,Retail,21,Purchase at Merchant-2016
61,1011,2067,1535.32,2023-01-01 00:01:00,1,Visa,City-31,Groceries,37,Purchase at Merchant-2067
62,1071,2086,7381.21,2023-01-01 00:01:01,0,MasterCard,City-30,Groceries,27,Purchase at Merchant-2086
63,1038,2075,3861.79,2023-01-01 00:01:02,0,Visa,City-25,Restaurant,35,Purchase at Merchant-2075
64,1081,2100,9496.84,2023-01-01 00:01:03,0,Visa,City-20,Online Shopping,24,Purchase at Merchant-2100
65,1080,2068,8734.88,2023-01-01 00:01:04,1,Discover,City-47,Gas Station,36,Purchase at Merchant-2068
66,1047,2033,7884.77,2023-01-01 00:01:05,1,Discover,City-21,Online Shopping,27,Purchase at Merchant-2033
67,1074,2064,3820.76,2023-01-01 00:01:06,0,Discover,City-34,Restaurant,62,Purchase at Merchant-2064
68,1025,2012,8703.8,2023-01-01 00:01:07,0,American Express,City-44,Online Shopping,61,Purchase at Merchant-2012
69,1091,2031,1502.35,2023-01-01 00:01:08,0,Discover,City-4,Restaurant,44,Purchase at Merchant-2031
70,1009,2077,3663.44,2023-01-01 00:01:09,0,American Express,City-35,Retail,38,Purchase at Merchant-2077
71,1006,2016,4349.47,2023-01-01 00:01:10,1,American Express,City-19,Groceries,42,Purchase at Merchant-2016
72,1085,2099,8175.87,2023-01-01 00:01:11,0,American Express,City-13,Groceries,27,Purchase at Merchant-2099
73,1030,2041,9054.57,2023-01-01 00:01:12,0,Visa,City-6,Retail,45,Purchase at Merchant-2041
74,1099,2043,1518.88,2023-01-01 00:01:13,0,American Express,City-40,Retail,22,Purchase at Merchant-2043
75,1038,2075,9460.97,2023-01-01 00:01:14,0,Visa,City-27,Restaurant,43,Purchase at Merchant-2075
76,1011,2095,2177.77,2023-01-01 00:01:15,0,American Express,City-41,Retail,21,Purchase at Merchant-2095
77,1030,2050,173.73,2023-01-01 00:01:16,0,American Express,City-21,Gas Station,34,Purchase at Merchant-2050
78,1013,2096,4728.16,2023-01-01 00:01:17,0,Visa,City-11,Online Shopping,43,Purchase at Merchant-2096
79,1049,2096,2716.19,2023-01-01 00:01:18,0,American Express,City-47,Gas Station,37,Purchase at Merchant-2096
80,1036,2031,1985.59,2023-01-01 00:01:19,1,Discover,City-5,Groceries,33,Purchase at Merchant-2031
81,1059,2055,4978.25,2023-01-01 00:01:20,0,MasterCard,City-45,Gas Station,19,Purchase at Merchant-2055
82,1082,2028,1591.58,2023-01-01 00:01:21,1,MasterCard,City-29,Restaurant,64,Purchase at Merchant-2028
83,1047,2019,8299.48,2023-01-01 00:01:22,1,Discover,City-37,Gas Station,19,Purchase at Merchant-2019
84,1021,2014,8539.61,2023-01-01 00:01:23,1,Discover,City-48,Travel,46,Purchase at Merchant-2014
85,1048,2023,2783.92,2023-01-01 00:01:24,0,American Express,City-3,Restaurant,28,Purchase at Merchant-2023
86,1046,2028,1907.56,2023-01-01 00:01:25,0,Discover,City-41,Groceries,37,Purchase at Merchant-2028
87,1027,2036,6072.18,2023-01-01 00:01:26,1,MasterCard,City-2,Groceries,47,Purchase at Merchant-2036
88,1086,2057,4996.38,2023-01-01 00:01:27,1,Discover,City-21,Online Shopping,43,Purchase at Merchant-2057
89,1035,2053,4356.72,2023-01-01 00:01:28,0,MasterCard,City-13,Travel,42,Purchase at Merchant-2053
90,1090,2033,8517.45,2023-01-01 00:01:29,0,Discover,City-43,Online Shopping,62,Purchase at Merchant-2033
91,1088,2076,4878.55,2023-01-01 00:01:30,1,American Express,City-5,Groceries,18,Purchase at Merchant-2076
92,1083,2008,6661.23,2023-01-01 00:01:31,0,Visa,City-9,Retail,40,Purchase at Merchant-2008
93,1010,2063,3540.16,2023-01-01 00:01:32,0,Visa,City-27,Restaurant,67,Purchase at Merchant-2063
94,1078,2069,1069.05,2023-01-01 00:01:33,1,American Express,City-2,Restaurant,63,Purchase at Merchant-2069
95,1082,2048,9529.97,2023-01-01 00:01:34,1,MasterCard,City-24,Groceries,31,Purchase at Merchant-2048
96,1022,2090,7063.18,2023-01-01 00:01:35,0,Visa,City-21,Retail,22,Purchase at Merchant-2090
97,1069,2015,6082.1,2023-01-01 00:01:36,0,American Express,City-45,Gas Station,31,Purchase at Merchant-2015
98,1094,2041,1423.36,2023-01-01 00:01:37,1,MasterCard,City-32,Gas Station,57,Purchase at Merchant-2041
99,1032,2070,5192.44,2023-01-01 00:01:38,0,American Express,City-20,Retail,63,Purchase at Merchant-2070
100,1021,2055,4947.37,2023-01-01 00:01:39,0,American Express,City-4,Groceries,48,Purchase at Merchant-2055
101,1060,2061,2171.87,2023-01-01 00:01:40,0,Visa,City-9,Travel,66,Purchase at Merchant-2061
102,1049,2088,4910.16,2023-01-01 00:01:41,1,American Express,City-41,Travel,51,Purchase at Merchant-2088
103,1035,2032,9569.0,2023-01-01 00:01:42,0,Discover,City-35,Restaurant,31,Purchase at Merchant-2032
104,1082,2036,6318.77,2023-01-01 00:01:43,1,MasterCard,City-49,Travel,47,Purchase at Merchant-2036
105,1089,2019,3392.42,2023-01-01 00:01:44,0,Visa,City-20,Gas Station,36,Purchase at Merchant-2019
106,1072,2047,3113.01,2023-01-01 00:01:45,1,Discover,City-22,Retail,48,Purchase at Merchant-2047
107,1029,2061,6188.62,2023-01-01 00:01:46,1,Discover,City-40,Groceries,42,Purchase at Merchant-2061
108,1088,2092,6120.15,2023-01-01 00:01:47,0,American Express,City-24,Retail,42,Purchase at Merchant-2092
